"Time","McDonald's","Burger King","Wendy's Company","KFC","Taco Bell","Subway","Pizza Hut","Five Guys"
"2022-12-01",86,22,30,16,37,26,41,8
"2023-01-01",72,22,26,14,36,27,36,7
"2023-02-01",76,22,25,17,34,27,39,7
"2023-03-01",78,23,26,19,34,29,35,7
"2023-04-01",83,23,27,18,37,28,32,7
"2023-05-01",80,27,25,17,38,30,31,7
"2023-06-01",94,25,27,17,40,31,34,7
"2023-07-01",97,25,27,20,43,34,35,7
"2023-08-01",78,23,25,16,41,30,32,6
"2023-09-01",80,22,29,16,37,27,30,7
"2023-10-01",81,23,24,16,35,26,31,6
"2023-11-01",79,21,24,16,33,25,31,6
"2023-12-01",89,23,22,16,34,27,36,7
"2024-01-01",69,21,21,14,37,29,32,7
"2024-02-01",73,20,21,16,35,28,32,7
"2024-03-01",79,21,23,16,35,29,31,8
"2024-04-01",72,20,23,17,34,28,29,7
"2024-05-01",77,22,23,15,36,29,31,7
"2024-06-01",79,22,25,15,37,28,34,6
"2024-07-01",82,21,22,16,40,28,31,6
"2024-08-01",96,21,23,15,38,29,29,6
"2024-09-01",83,19,28,13,36,26,27,6
"2024-10-01",94,22,38,14,36,25,25,6
"2024-11-01",79,19,25,14,38,24,24,6
"2024-12-01",84,20,24,14,37,26,27,6
"2025-01-01",65,19,21,14,36,24,23,6
"2025-02-01",67,17,23,13,33,24,23,6
"2025-03-01",69,18,22,14,36,26,24,6
"2025-04-01",81,19,24,14,34,26,23,6
"2025-05-01",69,20,25,13,32,26,23,6
"2025-06-01",76,21,28,14,36,26,23,6
"2025-07-01",93,24,31,17,38,26,31,6
"2025-08-01",82,20,28,17,38,28,26,6
"2025-09-01",73,19,23,14,35,23,22,6
"2025-10-01",84,20,22,13,36,24,23,6
"2025-11-01",83,20,23,15,36,23,23,6
"2025-12-01",100,31,22,15,38,23,26,6
"2026-01-01",72,19,19,15,38,24,24,6
"2026-02-01",76,18,19,15,33,24,23,7
"2026-03-01",81,24,23,14,37,24,23,10
